shipment_id,hs_code_6_digit,goods_shipped,expected_description
4a6d908ce6cc5ec2aeee1c60141ff69c8fc7d06303d39823555dbd8b616ed396,071220,RED PEPPER PODWER,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
7113e240129c42797b1aad779ce81ddcc19f8b1af37438fd7798c166ef33e4af,071220,ORGANIC DRIED PORCINI MUSHROOMS HS: 07 12 20,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
4f9e74f1499cf6ea09ae63aac14b0673a95ede5836741562696d554dbb343ec6,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
77755771bce6d996ef438f992907b50f68f1751e0c598405a3c402451b733517,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS 100% COTTON WITH 1690 TOTAL BULTOS: 1690 TOTAL UNITS SHIPPED: 19, 961. 00 LEEWRANGLER-NI1020-519 LUW INVOICE 023079OJF. ON BOARD 10/19/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
8df002e5c3722e9628e095fff8f388cb92b163121991207f42c4d294fd395355,071220,TOASTED MINCED GARLIC 8-20 MESH 25MTS/1000CAR TONS 1000CARTONS ON 20 PALLETS,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
f24ba1c7895069d24dfb6bfe30893ddb5352acf147d725e15f6c9f81bf9c8eb3,071220,TOASTED MINCED GARLIC,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
1170e9d0778486e453a87bf2c24924fe78a4bfd7069d3d1a542b619cfe751b64,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1, 889 BOXES. TOTAL BULTOS: 01, 889 UNIDADES: 21, 855. 00. LEEWRANGLER-NI1220-650 SEW INVOICE 023439OJF. ON BOARD 12/13/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
ce14eda30236c0608c1613e4ec5e9a4660e162ade63106491cb53f6fdc03b7de,071220,"ONION 20 PALLETS OF SEMI LONG SHALLOT ( ALLIUM ASCALONICUM), 1100 BAGS, GROSS WEIGHT 21500, NET WEIGHT 21000 KG HS CODE 070310900000","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
d7d66585e059cd1f2cfcf78f717bb0ccb4c1416c5fe1d2eb7197869c50d666e4,071220,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS, JACKET AND WOMAN PANTS WITH 2220 TOTAL BULTOS: 2220 UNIDADES: 19143 LEEWRANGLER-NI1120-601 EPW INVOICE 023297OJF ON BOARD 11/22/2020.","Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
e2cba23b3b4a45f8a5c06680ebfb9d29938ede20403179dadcd6737037e0cd47,071220,DEHYDRATED WHITE CAULIFLOWER FLAKES,"Dried onions (whole, cut, sliced, broken or in powder) Keywords: dried onions, onion powder, dehydrated onion, onion flakes, प्याज, Pyaj, پیاز, oignon déshydraté, cebolla deshidratada, hành khô, сушеный лук"
