shipment_id,goods_shipped,goods_shipped_query,hs_code_6_digit,predicted_hs_code,rerank_score,distance,match_rank,top_hs_codes,expected_in_index,is_semantic_outlier,semantic_outlier_reason
4a6d908ce6cc5ec2aeee1c60141ff69c8fc7d06303d39823555dbd8b616ed396,RED PEPPER PODWER,red pepper podwer,71220,90412.0,-7.3607659339904785,0.50701,,"[""090412"", ""090411"", ""090421"", ""090422"", ""070960""]",True,True,hs_code_mismatch
7113e240129c42797b1aad779ce81ddcc19f8b1af37438fd7798c166ef33e4af,ORGANIC DRIED PORCINI MUSHROOMS HS: 07 12 20,organic dried porcini mushrooms hs,71220,71231.0,-3.3833563327789307,0.39514792,,"[""071231"", ""071234"", ""071239"", ""071151"", ""071159""]",True,True,hs_code_mismatch
4f9e74f1499cf6ea09ae63aac14b0673a95ede5836741562696d554dbb343ec6,TOASTED MINCED GARLIC,toasted minced garlic,71220,70320.0,-7.2473602294921875,0.39244956,,"[""070320"", ""070390"", ""071080"", ""070310"", ""071040""]",True,True,hs_code_mismatch
699d491d23e2bb120b733a259f1d17d9bedaf4a57c02f4bb5c88f89b8c84ea19,"FD GARLIC 1/8"" P. O. NO.: 20210041800 FD WHITE O NION 1/4"" P. O. NO.: 20210041546 THIS SHIPMENT C ONTAINS NO SOLID WOOD PACKING MATERIALS",fd garlic p o no fd white o nion p o no,71220,70320.0,-7.1349711418151855,0.4625585,,"[""070320"", ""100840"", ""070310"", ""090710"", ""090720""]",True,True,hs_code_mismatch
8df002e5c3722e9628e095fff8f388cb92b163121991207f42c4d294fd395355,TOASTED MINCED GARLIC 8-20 MESH 25MTS/1000CAR TONS 1000CARTONS ON 20 PALLETS,toasted minced garlic mesh car on,71220,70320.0,-10.33170223236084,0.5472037,,"[""070320"", ""090720"", ""070310"", ""090832"", ""071040""]",True,True,hs_code_mismatch
f24ba1c7895069d24dfb6bfe30893ddb5352acf147d725e15f6c9f81bf9c8eb3,TOASTED MINCED GARLIC,toasted minced garlic,71220,70320.0,-7.2473602294921875,0.39244956,,"[""070320"", ""070390"", ""071080"", ""070310"", ""071040""]",True,True,hs_code_mismatch
1170e9d0778486e453a87bf2c24924fe78a4bfd7069d3d1a542b619cfe751b64,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1, 889 BOXES. TOTAL BULTOS: 01, 889 UNIDADES: 21, 855. 00. LEEWRANGLER-NI1220-650 SEW INVOICE 023439OJF. ON BOARD 12/13/2020.",clothing said men pants with total bultos unidades leewrangler ni sew ojf,71220,100410.0,-11.359502792358398,0.7128625,,"[""100410"", ""100821"", ""100710"", ""120729"", ""120721""]",True,True,hs_code_mismatch
568be2a12efe7b9d25e6a2e32ba563ca213f0da7b56516b54496920bb45778bb,TOASTED ONION GRANULATED IRR,toasted onion granulated irr,71220,70310.0,-10.128340721130373,0.5356063,,"[""070310"", ""071090"", ""071080"", ""070390"", ""071040""]",True,True,hs_code_mismatch
e2cba23b3b4a45f8a5c06680ebfb9d29938ede20403179dadcd6737037e0cd47,DEHYDRATED WHITE CAULIFLOWER FLAKES,dehydrated white cauliflower flakes,71220,110520.0,-3.3044888973236084,0.5306278,,"[""110520"", ""070410"", ""070420"", ""110610"", ""070390""]",True,True,hs_code_mismatch
085da9da5a2f4d2a17ad1999c0c7ac216800c0f01b3a5652e30c23b5c97deb25,"CLOTHING SHIPPER WEIGHT LOAD AND COUNT. SAID THE INVOICE MEN PANTS WITH 1933 CARTONS TOTAL BULTOS: 1, 933 TOTAL UNITS SHIPPED: 23, 904. 00 LEEWRANGLER-NI0221-078 LUW INVOICE 023741-023789OJF. ON BOARD 01/08/2021.",clothing said men pants with total bultos total units shipped leewrangler ni,71220,70390.0,-11.327937126159668,0.72217655,,"[""070390"", ""100829"", ""090240"", ""100821"", ""120729""]",True,True,hs_code_mismatch
a5198741892eb1ceb671a82cc64256ccb6b0e8f13cd578541d5b01d8d8567102,TOASTED GARLIC MINCED TOASTED GARLIC GRANULAT ED TOASTED GARLIC POWDER,toasted garlic minced toasted garlic granulat ed toasted garlic powder,71220,70320.0,-5.404668807983398,0.48741055,,"[""070320"", ""090812"", ""090720"", ""090620"", ""070310""]",True,True,hs_code_mismatch
bd4567c635327fa1f188ffb271458654476bbc1a0710a533a825254fe7b42ad1,GARLIC POWDERGARLIC GRANULESONION POWDER ONIO N GRANULESONION MINCEDONION CHOPPED,garlic powdergarlic granulesonion powder onio n granulesonion mincedonion chopped,71220,90812.0,-9.92927360534668,0.5928209,,"[""090812"", ""070320"", ""090720"", ""090811"", ""070410""]",True,True,hs_code_mismatch
c19c6d2a06ad93694473851aa141046f033a8aa6618ab978b45d6b1ef81c56e6,"IQF WHITE ONION BLANCHED 3/8"" DICED ORGANIC P O#2023-00-98253 TEMP: -18'C VENT: CLOSED",iqf white onion blanched diced organic p o temp c vent closed,71220,70310.0,-10.910748481750488,0.52093756,,"[""070310"", ""070320"", ""070390"", ""071080"", ""070410""]",True,True,hs_code_mismatch
